metric,label,anova_F,anova_p,anova_eta2,anova_sig,mean_gregory,sem_gregory,mean_rebecca,sem_rebecca,mean_chatgpt,sem_chatgpt,mean_copilot,sem_copilot,dz_Gregory_vs_Rebecca,padj_Gregory_vs_Rebecca,sig_Gregory_vs_Rebecca,dz_Gregory_vs_ChatGPT,padj_Gregory_vs_ChatGPT,sig_Gregory_vs_ChatGPT,dz_Gregory_vs_Copilot,padj_Gregory_vs_Copilot,sig_Gregory_vs_Copilot,dz_Rebecca_vs_ChatGPT,padj_Rebecca_vs_ChatGPT,sig_Rebecca_vs_ChatGPT,dz_Rebecca_vs_Copilot,padj_Rebecca_vs_Copilot,sig_Rebecca_vs_Copilot,dz_ChatGPT_vs_Copilot,padj_ChatGPT_vs_Copilot,sig_ChatGPT_vs_Copilot
fung_referential_rate,Fung: Referential DMs,0.9187903506604339,0.4334564341362802,0.013767191097059327,,0.08041248146616958,0.0005644277860842753,0.08069077938705094,0.000570059808927263,0.08052731933274776,0.000544940372677437,0.0795445785630991,0.0004591891213190152,-0.050461560051145334,0.8939116264495673,,-0.018957620288172956,0.8939116264495673,,0.1581360533392937,0.5378755879983711,,0.033155064114564675,0.8939116264495673,,0.20915056889125247,0.4366878579311655,,0.22053104300027213,0.4366878579311655,
fung_structural_rate,Fung: Structural DMs,1.41828189398032,0.23979987780102074,0.021716727510622435,,0.07594378890724932,0.000569072740998859,0.07652249741847159,0.0005369493681346471,0.0759418091077431,0.0005920351661659777,0.07492834996684773,0.0004989339172298846,-0.10419949161811658,0.5577075175450439,,0.0003018627113835733,0.9983055897835893,,0.18174826989228796,0.40955978362232964,,0.10928931927624383,0.5577075175450439,,0.3004048232966686,0.2323566808733182,,0.20526258170660233,0.40955978362232964,
fung_cognitive_rate,Fung: Cognitive DMs,11.006152529104305,1.458779502416796e-06,0.14795322567100455,***,0.016724115059416768,0.0006179283268931637,0.016406787216424995,0.0005533153956015018,0.012737189562105091,0.00044934266875399384,0.015234117802364557,0.0005143762447526719,0.05212390969002418,0.7140346762472746,,0.70573271518533,2.3994658010492882e-05,***,0.2441153978215232,0.10874449219080043,,0.7630390166047369,1.1804704418318493e-05,***,0.25086908617848686,0.10874449219080043,,-0.4779806376945017,0.00286148848222191,**
fung_total_rate,Fung: Discourse Markers (Total),16.364712422432248,3.1422637825073707e-09,0.210005700937038,***,0.12029783681786882,0.0011056182711410851,0.12048631643560795,0.0009633629886670349,0.11179299065685239,0.000989409226225864,0.11515183877425107,0.000990432548192619,-0.01866128388193069,0.8955600749641617,,0.706482522649711,2.3562384305874344e-05,***,0.45973507612467107,0.0031262272965644124,**,0.9861379477578951,4.381826796547873e-08,***,0.5264147912287699,0.0010189290435684351,**,-0.33304449201525393,0.027087704359430108,*
nonfluency_rate,Nonfluency Rate (LIWC),1.2601395226807113,0.2903179851782498,0.01818590587292142,,0.0016031813135291228,0.00013802243272413776,0.0013432295318599804,8.338104204539305e-05,0.0015064848851175786,9.744948563939871e-05,0.001570084185360665,9.285655148200941e-05,0.24082552427715198,0.2847724117170833,,0.07690410291547477,0.7476672975173815,,0.02833667378980825,0.8420201236705678,,-0.19217319248660586,0.3608205854765987,,-0.27170597523414813,0.2847724117170833,,-0.06995442948671328,0.7476672975173815,
liwc_filler_rate,Filler Rate (LIWC),17.254568955070027,1.1850899150900318e-09,0.21438834742392004,***,0.0034638867719747513,0.00022066645312823058,0.0027799711072491375,0.00019146959887794853,0.0016389447323919527,0.00012254306426013703,0.0027213812600874426,0.00016509979039631625,0.33318492001456723,0.027022957032370988,*,0.9876190588137705,4.221167803916118e-08,***,0.36287776984393594,0.02009862393686326,*,0.6639989081955512,4.362908885380503e-05,***,0.035307211476765944,0.8038942187188849,,-0.7199515696600117,1.6983636868279108e-05,***
disfluency_rate,Disfluency Rate (Total),16.00960695604766,4.652987106723572e-09,0.20338235502372584,***,0.005067068085503874,0.00023432771641981008,0.004123200639109118,0.00019216163197450996,0.003145429617509532,0.00015585909483412758,0.004291465445448107,0.00018278334012488374,0.45935248957885133,0.0031507316874884216,**,0.9028149520164139,3.585254458146672e-07,***,0.3417466716372633,0.023328086076239356,*,0.5370966555642959,0.0008064324274356569,***,-0.09648969626140967,0.4982714481932839,,-0.6497060788896076,9.189035540691756e-05,***
like_rate,Discourse 'Like' Rate,9.817661595092314,6.074768313379941e-06,0.1371525038839351,***,0.010445872039853421,0.0005068676601585322,0.011008561700410814,0.00047397353058634915,0.007721363511560919,0.00039590208057753125,0.009278951069629462,0.00041780020201702677,-0.1073244752849182,0.4515484543274801,,0.5547262213893035,0.0008185977777710876,***,0.2317000339795238,0.1293019007878085,,0.7991913198835383,4.818296652062294e-06,***,0.4396706289669327,0.006248827847535169,**,-0.3517671760738697,0.024482332458773792,*
tom_rate,ToM Phrases Rate,9.371506883030628,1.044161861585291e-05,0.12587140678097564,***,0.002976216817326147,0.00018552397912042094,0.0025435570027154773,0.00015736001171471386,0.0018280746743709005,0.00013543735837552118,0.00256749306419891,0.0001387965443917049,0.23771622596511421,0.13242511490788247,,0.7446977990630338,1.8542048227990415e-05,***,0.22995811889407325,0.13242511490788247,,0.4731883576997323,0.0031609049157976053,**,-0.018722774945048176,0.8952179764212866,,-0.5503541239781882,0.0009022942253590195,***
politeness_rate,Politeness Rate,6.886099812604211,0.00022654567331137354,0.09201325030997456,***,0.005800667774730941,0.00015838863249159076,0.005576153718175691,0.00022071176647387415,0.006731152244026648,0.00024997359044209535,0.006561998450383632,0.00023782198562295276,0.11753343856262896,0.49194730756817406,,-0.4021883531463862,0.012967456821436405,*,-0.3731489352605898,0.01669507855922108,*,-0.49667855178222464,0.003016561791054853,**,-0.4947774037708862,0.003016561791054853,**,0.07368271911975356,0.6047027255151101,
sentiment,Sentiment (VADER),0.8340312213700385,0.47720229471014153,0.012431019640640847,,0.95772296,0.0028591488782017714,0.9653895999999998,0.0026202690729568,0.9618335600000001,0.004131885250906807,0.9615783200000001,0.003952735322552612,-0.2564287851553301,0.4555464902640698,,-0.12276066063135202,0.6081605535586416,,-0.12630863900175135,0.6081605535586416,,0.09457397072960479,0.6081605535586416,,0.11240795686895082,0.6081605535586416,,0.006482298594135685,0.9636266496559779,
quality,Conv. Quality (1–4),0.9516097812761927,0.4174392872524805,0.014919454770755599,,2.8960000000000004,0.024404750290357283,2.9220000000000006,0.020059096363963552,2.94,0.015386185163241447,2.9020000000000006,0.019689425318880065,-0.11043087556692323,0.6091592420433157,,-0.21237844172716833,0.44408434867696994,,-0.02695299700297811,0.8496370324350154,,-0.10992738992150715,0.6091592420433157,,0.09438798074485395,0.6091592420433157,,0.2078505620596006,0.44408434867696994,
connectedness,Connectedness (1–4),7.220151426907337,0.00014895921264002077,0.10584888293866547,***,3.0860000000000003,0.014571428571428577,3.03,0.01597191412499851,2.9920000000000004,0.010629185850136166,3.0639999999999996,0.017085618728829785,0.36037693436293183,0.028023787258072835,*,0.7507385931889384,1.59837993815225e-05,***,0.1246728580575712,0.3823132993332432,,0.2690026882914713,0.0945596852004043,,-0.1948334133903319,0.20947443509733507,,-0.5252280130400658,0.0015684251536909393,**
