Subject,Condition,topic,Social_Type,ToM_Count
s003,hum,work_life,social,0
s004,bot,architecture,nonsocial,0
s004,bot,art,nonsocial,0
s004,bot,communication,social,0
s004,bot,conflict,social,0
s004,bot,cultural_celebrations,social,0
s004,bot,empathy,social,0
s004,bot,family,social,0
s004,bot,fashion,nonsocial,1
s004,bot,forgiveness,social,0
s004,bot,gardening,nonsocial,1
s004,bot,hobbies,social,0
s004,bot,love,social,0
s004,bot,mentorship,social,0
s004,bot,movies,nonsocial,0
s004,bot,photography,nonsocial,1
s004,bot,podcasts,nonsocial,1
s004,bot,social_media,social,0
s004,bot,space,nonsocial,1
s004,bot,sports,nonsocial,0
s004,bot,travel,nonsocial,1
s004,hum,books,nonsocial,1
s004,hum,boundaries,social,0
s004,hum,cars,nonsocial,0
s004,hum,childhood_memories,social,1
s004,hum,cooking,nonsocial,0
s004,hum,exercise,nonsocial,0
s004,hum,food,nonsocial,0
s004,hum,friendship,social,1
s004,hum,goals,social,0
s004,hum,loneliness,social,0
s004,hum,music,nonsocial,0
s004,hum,nature,nonsocial,1
s004,hum,networks,social,0
s004,hum,role_models,social,0
s004,hum,seasons,nonsocial,0
s004,hum,teamwork,social,0
s004,hum,technology,nonsocial,1
s004,hum,trust,social,1
s004,hum,weather,nonsocial,0
s004,hum,work_life,social,0
s005,bot,architecture,nonsocial,0
s005,bot,cars,nonsocial,0
s005,bot,childhood_memories,social,1
s005,bot,communication,social,1
s005,bot,conflict,social,0
s005,bot,empathy,social,1
s005,bot,exercise,nonsocial,0
s005,bot,family,social,0
s005,bot,fashion,nonsocial,0
s005,bot,food,nonsocial,1
s005,bot,forgiveness,social,0
s005,bot,goals,social,0
s005,bot,loneliness,social,1
s005,bot,love,social,0
s005,bot,mentorship,social,0
s005,bot,music,nonsocial,0
s005,bot,podcasts,nonsocial,0
s005,bot,seasons,nonsocial,0
s005,bot,space,nonsocial,0
s005,bot,sports,nonsocial,1
s005,hum,art,nonsocial,0
s005,hum,books,nonsocial,1
s005,hum,boundaries,social,0
s005,hum,cooking,nonsocial,0
s005,hum,cultural_celebrations,social,0
s005,hum,friendship,social,2
s005,hum,gardening,nonsocial,0
s005,hum,hobbies,social,0
s005,hum,movies,nonsocial,1
s005,hum,nature,nonsocial,0
s005,hum,networks,social,1
s005,hum,photography,nonsocial,1
s005,hum,role_models,social,0
s005,hum,social_media,social,2
s005,hum,teamwork,social,1
s005,hum,technology,nonsocial,1
s005,hum,travel,nonsocial,1
s005,hum,trust,social,0
s005,hum,weather,nonsocial,0
s005,hum,work_life,social,0
s006,bot,architecture,nonsocial,0
s006,bot,art,nonsocial,0
s006,bot,communication,social,1
s006,bot,conflict,social,0
s006,bot,cooking,nonsocial,0
s006,bot,cultural_celebrations,social,0
s006,bot,empathy,social,1
s006,bot,exercise,nonsocial,0
s006,bot,family,social,0
s006,bot,fashion,nonsocial,1
s006,bot,friendship,social,1
s006,bot,mentorship,social,0
s006,bot,photography,nonsocial,1
s006,bot,podcasts,nonsocial,1
s006,bot,seasons,nonsocial,0
s006,bot,social_media,social,2
s006,bot,space,nonsocial,0
s006,bot,trust,social,1
s006,bot,weather,nonsocial,0
s006,bot,work_life,social,0
s006,hum,books,nonsocial,2
s006,hum,boundaries,social,0
s006,hum,cars,nonsocial,0
s006,hum,childhood_memories,social,1
s006,hum,food,nonsocial,0
s006,hum,forgiveness,social,0
s006,hum,gardening,nonsocial,0
s006,hum,goals,social,0
s006,hum,hobbies,social,1
s006,hum,loneliness,social,1
s006,hum,love,social,0
s006,hum,movies,nonsocial,0
s006,hum,music,nonsocial,0
s006,hum,nature,nonsocial,0
s006,hum,networks,social,1
s006,hum,role_models,social,0
s006,hum,sports,nonsocial,1
s006,hum,teamwork,social,0
s006,hum,technology,nonsocial,0
s006,hum,travel,nonsocial,1
s007,bot,art,nonsocial,0
s007,bot,books,nonsocial,1
s007,bot,boundaries,social,0
s007,bot,cars,nonsocial,0
s007,bot,childhood_memories,social,0
s007,bot,communication,social,0
s007,bot,cooking,nonsocial,0
s007,bot,empathy,social,0
s007,bot,family,social,0
s007,bot,food,nonsocial,0
s007,bot,friendship,social,1
s007,bot,gardening,nonsocial,1
s007,bot,love,social,1
s007,bot,music,nonsocial,0
s007,bot,nature,nonsocial,1
s007,bot,role_models,social,0
s007,bot,seasons,nonsocial,0
s007,bot,teamwork,social,0
s007,bot,technology,nonsocial,0
s007,bot,trust,social,1
s007,hum,architecture,nonsocial,0
s007,hum,conflict,social,0
s007,hum,cultural_celebrations,social,0
s007,hum,exercise,nonsocial,0
s007,hum,fashion,nonsocial,0
s007,hum,forgiveness,social,2
s007,hum,goals,social,0
s007,hum,hobbies,social,0
s007,hum,loneliness,social,1
s007,hum,mentorship,social,0
s007,hum,movies,nonsocial,1
s007,hum,networks,social,0
s007,hum,photography,nonsocial,0
s007,hum,podcasts,nonsocial,0
s007,hum,social_media,social,1
s007,hum,space,nonsocial,0
s007,hum,sports,nonsocial,0
s007,hum,travel,nonsocial,1
s007,hum,weather,nonsocial,0
s007,hum,work_life,social,0
s008,bot,art,nonsocial,0
s008,bot,boundaries,social,0
s008,bot,cars,nonsocial,0
s008,bot,cooking,nonsocial,0
s008,bot,empathy,social,0
s008,bot,fashion,nonsocial,0
s008,bot,friendship,social,1
s008,bot,goals,social,0
s008,bot,hobbies,social,0
s008,bot,loneliness,social,0
s008,bot,mentorship,social,0
s008,bot,music,nonsocial,1
s008,bot,podcasts,nonsocial,0
s008,bot,space,nonsocial,2
s008,bot,sports,nonsocial,0
s008,bot,teamwork,social,0
s008,bot,travel,nonsocial,0
s008,bot,trust,social,1
s008,bot,weather,nonsocial,0
s008,bot,work_life,social,0
s008,hum,architecture,nonsocial,0
s008,hum,books,nonsocial,0
s008,hum,childhood_memories,social,1
s008,hum,communication,social,0
s008,hum,conflict,social,0
s008,hum,cultural_celebrations,social,0
s008,hum,exercise,nonsocial,0
s008,hum,family,social,0
s008,hum,food,nonsocial,0
s008,hum,forgiveness,social,0
s008,hum,gardening,nonsocial,0
s008,hum,love,social,0
s008,hum,movies,nonsocial,1
s008,hum,nature,nonsocial,0
s008,hum,networks,social,0
s008,hum,photography,nonsocial,2
s008,hum,role_models,social,0
s008,hum,seasons,nonsocial,0
s008,hum,social_media,social,1
s008,hum,technology,nonsocial,1
s009,bot,art,nonsocial,0
s009,bot,books,nonsocial,2
s009,bot,boundaries,social,0
s009,bot,cars,nonsocial,0
s009,bot,communication,social,0
s009,bot,cooking,nonsocial,0
s009,bot,cultural_celebrations,social,0
s009,bot,empathy,social,2
s009,bot,food,nonsocial,0
s009,bot,friendship,social,1
s009,bot,goals,social,0
s009,bot,hobbies,social,1
s009,bot,love,social,4
s009,bot,mentorship,social,0
s009,bot,music,nonsocial,0
s009,bot,podcasts,nonsocial,0
s009,bot,space,nonsocial,1
s009,bot,teamwork,social,0
s009,bot,technology,nonsocial,1
s009,bot,weather,nonsocial,0
s009,hum,architecture,nonsocial,1
s009,hum,childhood_memories,social,1
s009,hum,conflict,social,0
s009,hum,exercise,nonsocial,0
s009,hum,family,social,0
s009,hum,fashion,nonsocial,2
s009,hum,forgiveness,social,0
s009,hum,gardening,nonsocial,0
s009,hum,loneliness,social,1
s009,hum,movies,nonsocial,0
s009,hum,nature,nonsocial,0
s009,hum,networks,social,0
s009,hum,photography,nonsocial,0
s009,hum,role_models,social,0
s009,hum,seasons,nonsocial,0
s009,hum,social_media,social,1
s009,hum,sports,nonsocial,1
s009,hum,travel,nonsocial,0
s009,hum,trust,social,1
s009,hum,work_life,social,0
s010,bot,books,nonsocial,0
s010,bot,childhood_memories,social,0
s010,bot,communication,social,0
s010,bot,conflict,social,0
s010,bot,cooking,nonsocial,0
s010,bot,exercise,nonsocial,0
s010,bot,family,social,0
s010,bot,food,nonsocial,0
s010,bot,goals,social,0
s010,bot,loneliness,social,1
s010,bot,love,social,0
s010,bot,mentorship,social,0
s010,bot,music,nonsocial,0
s010,bot,networks,social,2
s010,bot,photography,nonsocial,0
s010,bot,podcasts,nonsocial,0
s010,bot,space,nonsocial,1
s010,bot,travel,nonsocial,0
s010,bot,weather,nonsocial,0
s010,bot,work_life,social,0
s010,hum,architecture,nonsocial,0
s010,hum,art,nonsocial,0
s010,hum,boundaries,social,0
s010,hum,cars,nonsocial,0
s010,hum,cultural_celebrations,social,0
s010,hum,empathy,social,1
s010,hum,fashion,nonsocial,1
s010,hum,forgiveness,social,1
s010,hum,friendship,social,0
s010,hum,gardening,nonsocial,0
s010,hum,hobbies,social,0
s010,hum,movies,nonsocial,0
s010,hum,nature,nonsocial,0
s010,hum,role_models,social,0
s010,hum,seasons,nonsocial,0
s010,hum,social_media,social,1
s010,hum,sports,nonsocial,1
s010,hum,teamwork,social,0
s010,hum,technology,nonsocial,1
s010,hum,trust,social,0
s011,bot,books,nonsocial,0
s011,bot,boundaries,social,0
s011,bot,childhood_memories,social,0
s011,bot,cooking,nonsocial,0
s011,bot,cultural_celebrations,social,0
s011,bot,family,social,0
s011,bot,fashion,nonsocial,0
s011,bot,gardening,nonsocial,0
s011,bot,hobbies,social,0
s011,bot,loneliness,social,0
s011,bot,music,nonsocial,0
s011,bot,nature,nonsocial,0
s011,bot,networks,social,0
s011,bot,role_models,social,0
s011,bot,seasons,nonsocial,0
s011,bot,space,nonsocial,0
s011,bot,sports,nonsocial,2
s011,bot,teamwork,social,0
s011,bot,travel,nonsocial,0
s011,bot,work_life,social,0
s011,hum,architecture,nonsocial,1
s011,hum,art,nonsocial,1
s011,hum,cars,nonsocial,0
s011,hum,communication,social,0
s011,hum,conflict,social,0
s011,hum,empathy,social,2
s011,hum,exercise,nonsocial,1
s011,hum,food,nonsocial,0
s011,hum,forgiveness,social,1
s011,hum,friendship,social,2
s011,hum,goals,social,0
s011,hum,love,social,1
s011,hum,mentorship,social,0
s011,hum,movies,nonsocial,0
s011,hum,photography,nonsocial,0
s011,hum,podcasts,nonsocial,0
s011,hum,social_media,social,0
s011,hum,technology,nonsocial,0
s011,hum,trust,social,0
s011,hum,weather,nonsocial,1
s012,bot,art,nonsocial,0
s012,bot,boundaries,social,0
s012,bot,cars,nonsocial,0
s012,bot,childhood_memories,social,0
s012,bot,cultural_celebrations,social,0
s012,bot,family,social,0
s012,bot,fashion,nonsocial,0
s012,bot,gardening,nonsocial,0
s012,bot,hobbies,social,0
s012,bot,loneliness,social,1
s012,bot,movies,nonsocial,0
s012,bot,music,nonsocial,0
s012,bot,networks,social,0
s012,bot,podcasts,nonsocial,0
s012,bot,role_models,social,0
s012,bot,space,nonsocial,1
s012,bot,sports,nonsocial,2
s012,bot,teamwork,social,0
s012,bot,travel,nonsocial,0
s012,bot,work_life,social,0
s012,hum,architecture,nonsocial,1
s012,hum,books,nonsocial,1
s012,hum,communication,social,0
s012,hum,conflict,social,0
s012,hum,cooking,nonsocial,0
s012,hum,empathy,social,0
s012,hum,exercise,nonsocial,0
s012,hum,food,nonsocial,0
s012,hum,forgiveness,social,1
s012,hum,friendship,social,1
s012,hum,goals,social,0
s012,hum,love,social,1
s012,hum,mentorship,social,0
s012,hum,nature,nonsocial,0
s012,hum,photography,nonsocial,0
s012,hum,seasons,nonsocial,0
s012,hum,social_media,social,1
s012,hum,technology,nonsocial,0
s012,hum,trust,social,0
s012,hum,weather,nonsocial,0
s013,bot,art,nonsocial,0
s013,bot,books,nonsocial,0
s013,bot,cars,nonsocial,0
s013,bot,childhood_memories,social,0
s013,bot,cooking,nonsocial,0
s013,bot,cultural_celebrations,social,0
s013,bot,empathy,social,1
s013,bot,family,social,0
s013,bot,forgiveness,social,1
s013,bot,gardening,nonsocial,0
s013,bot,hobbies,social,0
s013,bot,movies,nonsocial,0
s013,bot,nature,nonsocial,0
s013,bot,role_models,social,0
s013,bot,seasons,nonsocial,0
s013,bot,social_media,social,0
s013,bot,technology,nonsocial,0
s013,bot,trust,social,1
s013,bot,weather,nonsocial,0
s013,bot,work_life,social,0
s013,hum,architecture,nonsocial,1
s013,hum,boundaries,social,0
s013,hum,communication,social,0
s013,hum,conflict,social,0
s013,hum,exercise,nonsocial,0
s013,hum,fashion,nonsocial,1
s013,hum,food,nonsocial,1
s013,hum,friendship,social,1
s013,hum,goals,social,0
s013,hum,loneliness,social,0
s013,hum,love,social,0
s013,hum,mentorship,social,0
s013,hum,music,nonsocial,0
s013,hum,networks,social,2
s013,hum,photography,nonsocial,0
s013,hum,podcasts,nonsocial,0
s013,hum,space,nonsocial,0
s013,hum,sports,nonsocial,3
s013,hum,teamwork,social,0
s013,hum,travel,nonsocial,0
s014,bot,architecture,nonsocial,0
s014,bot,cars,nonsocial,0
s014,bot,conflict,social,0
s014,bot,cooking,nonsocial,0
s014,bot,cultural_celebrations,social,0
s014,bot,empathy,social,0
s014,bot,exercise,nonsocial,0
s014,bot,food,nonsocial,0
s014,bot,forgiveness,social,0
s014,bot,goals,social,1
s014,bot,hobbies,social,0
s014,bot,mentorship,social,0
s014,bot,nature,nonsocial,2
s014,bot,podcasts,nonsocial,0
s014,bot,social_media,social,0
s014,bot,sports,nonsocial,0
s014,bot,travel,nonsocial,1
s014,bot,trust,social,0
s014,bot,weather,nonsocial,0
s014,bot,work_life,social,0
s014,hum,art,nonsocial,0
s014,hum,books,nonsocial,0
s014,hum,boundaries,social,0
s014,hum,childhood_memories,social,1
s014,hum,communication,social,0
s014,hum,family,social,0
s014,hum,fashion,nonsocial,1
s014,hum,friendship,social,3
s014,hum,gardening,nonsocial,0
s014,hum,loneliness,social,1
s014,hum,love,social,2
s014,hum,movies,nonsocial,1
s014,hum,music,nonsocial,0
s014,hum,networks,social,1
s014,hum,photography,nonsocial,0
s014,hum,role_models,social,0
s014,hum,seasons,nonsocial,0
s014,hum,space,nonsocial,1
s014,hum,teamwork,social,0
s014,hum,technology,nonsocial,0
s015,bot,architecture,nonsocial,2
s015,bot,boundaries,social,0
s015,bot,cars,nonsocial,0
s015,bot,conflict,social,0
s015,bot,cooking,nonsocial,0
s015,bot,cultural_celebrations,social,0
s015,bot,empathy,social,0
s015,bot,exercise,nonsocial,1
s015,bot,fashion,nonsocial,1
s015,bot,forgiveness,social,0
s015,bot,friendship,social,2
s015,bot,gardening,nonsocial,0
s015,bot,goals,social,0
s015,bot,loneliness,social,1
s015,bot,networks,social,0
s015,bot,seasons,nonsocial,0
s015,bot,space,nonsocial,0
s015,bot,sports,nonsocial,0
s015,bot,technology,nonsocial,0
s015,bot,work_life,social,0
s015,hum,art,nonsocial,0
s015,hum,books,nonsocial,0
s015,hum,childhood_memories,social,1
s015,hum,communication,social,0
s015,hum,family,social,0
s015,hum,food,nonsocial,1
s015,hum,hobbies,social,0
s015,hum,love,social,1
s015,hum,mentorship,social,0
s015,hum,movies,nonsocial,0
s015,hum,music,nonsocial,0
s015,hum,nature,nonsocial,0
s015,hum,photography,nonsocial,1
s015,hum,podcasts,nonsocial,0
s015,hum,role_models,social,0
s015,hum,social_media,social,1
s015,hum,teamwork,social,0
s015,hum,travel,nonsocial,0
s015,hum,trust,social,0
s015,hum,weather,nonsocial,0
s016,bot,architecture,nonsocial,0
s016,bot,books,nonsocial,0
s016,bot,childhood_memories,social,0
s016,bot,cultural_celebrations,social,0
s016,bot,empathy,social,0
s016,bot,exercise,nonsocial,0
s016,bot,fashion,nonsocial,1
s016,bot,forgiveness,social,2
s016,bot,friendship,social,1
s016,bot,goals,social,0
s016,bot,music,nonsocial,0
s016,bot,photography,nonsocial,1
s016,bot,role_models,social,0
s016,bot,seasons,nonsocial,0
s016,bot,social_media,social,0
s016,bot,space,nonsocial,1
s016,bot,teamwork,social,0
s016,bot,travel,nonsocial,0
s016,bot,trust,social,1
s016,bot,weather,nonsocial,0
s016,hum,art,nonsocial,1
s016,hum,boundaries,social,0
s016,hum,cars,nonsocial,0
s016,hum,communication,social,0
s016,hum,conflict,social,0
s016,hum,cooking,nonsocial,0
s016,hum,family,social,0
s016,hum,food,nonsocial,0
s016,hum,gardening,nonsocial,0
s016,hum,hobbies,social,1
s016,hum,loneliness,social,3
s016,hum,love,social,0
s016,hum,mentorship,social,0
s016,hum,movies,nonsocial,0
s016,hum,nature,nonsocial,0
s016,hum,networks,social,0
s016,hum,podcasts,nonsocial,0
s016,hum,sports,nonsocial,1
s016,hum,technology,nonsocial,1
s016,hum,work_life,social,0
s017,bot,art,nonsocial,0
s017,bot,boundaries,social,0
s017,bot,cars,nonsocial,1
s017,bot,communication,social,0
s017,bot,cultural_celebrations,social,0
s017,bot,empathy,social,0
s017,bot,family,social,0
s017,bot,food,nonsocial,0
s017,bot,friendship,social,2
s017,bot,gardening,nonsocial,0
s017,bot,hobbies,social,0
s017,bot,movies,nonsocial,2
s017,bot,music,nonsocial,0
s017,bot,networks,social,0
s017,bot,photography,nonsocial,0
s017,bot,seasons,nonsocial,1
s017,bot,sports,nonsocial,0
s017,bot,technology,nonsocial,0
s017,bot,trust,social,1
s017,bot,work_life,social,0
s017,hum,architecture,nonsocial,0
s017,hum,books,nonsocial,1
s017,hum,childhood_memories,social,1
s017,hum,conflict,social,0
s017,hum,cooking,nonsocial,0
s017,hum,exercise,nonsocial,0
s017,hum,fashion,nonsocial,1
s017,hum,forgiveness,social,1
s017,hum,goals,social,0
s017,hum,loneliness,social,2
s017,hum,love,social,1
s017,hum,mentorship,social,0
s017,hum,nature,nonsocial,1
s017,hum,podcasts,nonsocial,1
s017,hum,role_models,social,0
s017,hum,social_media,social,1
s017,hum,space,nonsocial,0
s017,hum,teamwork,social,0
s017,hum,travel,nonsocial,0
s017,hum,weather,nonsocial,0
s018,bot,architecture,nonsocial,0
s018,bot,boundaries,social,0
s018,bot,cars,nonsocial,0
s018,bot,communication,social,0
s018,bot,cooking,nonsocial,0
s018,bot,cultural_celebrations,social,0
s018,bot,exercise,nonsocial,0
s018,bot,family,social,0
s018,bot,fashion,nonsocial,1
s018,bot,friendship,social,1
s018,bot,gardening,nonsocial,1
s018,bot,hobbies,social,0
s018,bot,loneliness,social,0
s018,bot,mentorship,social,0
s018,bot,networks,social,0
s018,bot,seasons,nonsocial,1
s018,bot,space,nonsocial,0
s018,bot,sports,nonsocial,0
s018,bot,teamwork,social,0
s018,bot,travel,nonsocial,0
s018,hum,art,nonsocial,2
s018,hum,books,nonsocial,1
s018,hum,childhood_memories,social,1
s018,hum,conflict,social,0
s018,hum,empathy,social,0
s018,hum,food,nonsocial,0
s018,hum,forgiveness,social,0
s018,hum,goals,social,0
s018,hum,love,social,0
s018,hum,movies,nonsocial,1
s018,hum,music,nonsocial,0
s018,hum,nature,nonsocial,0
s018,hum,photography,nonsocial,4
s018,hum,podcasts,nonsocial,1
s018,hum,role_models,social,0
s018,hum,social_media,social,1
s018,hum,technology,nonsocial,0
s018,hum,trust,social,4
s018,hum,weather,nonsocial,0
s018,hum,work_life,social,0
s019,bot,art,nonsocial,0
s019,bot,childhood_memories,social,1
s019,bot,cooking,nonsocial,0
s019,bot,cultural_celebrations,social,0
s019,bot,empathy,social,1
s019,bot,family,social,1
s019,bot,food,nonsocial,0
s019,bot,forgiveness,social,0
s019,bot,gardening,nonsocial,0
s019,bot,goals,social,0
s019,bot,hobbies,social,0
s019,bot,movies,nonsocial,1
s019,bot,nature,nonsocial,0
s019,bot,role_models,social,0
s019,bot,seasons,nonsocial,0
s019,bot,space,nonsocial,1
s019,bot,sports,nonsocial,0
s019,bot,technology,nonsocial,0
s019,bot,trust,social,0
s019,bot,work_life,social,0
s019,hum,architecture,nonsocial,0
s019,hum,books,nonsocial,0
s019,hum,boundaries,social,0
s019,hum,cars,nonsocial,0
s019,hum,communication,social,0
s019,hum,conflict,social,0
s019,hum,exercise,nonsocial,0
s019,hum,fashion,nonsocial,0
s019,hum,friendship,social,1
s019,hum,loneliness,social,1
s019,hum,love,social,0
s019,hum,mentorship,social,0
s019,hum,music,nonsocial,0
s019,hum,networks,social,1
s019,hum,photography,nonsocial,0
s019,hum,podcasts,nonsocial,0
s019,hum,social_media,social,1
s019,hum,teamwork,social,0
s019,hum,travel,nonsocial,1
s019,hum,weather,nonsocial,0
s020,bot,art,nonsocial,0
s020,bot,books,nonsocial,1
s020,bot,boundaries,social,0
s020,bot,conflict,social,0
s020,bot,cooking,nonsocial,0
s020,bot,cultural_celebrations,social,0
s020,bot,family,social,0
s020,bot,food,nonsocial,0
s020,bot,friendship,social,1
s020,bot,loneliness,social,1
s020,bot,movies,nonsocial,0
s020,bot,nature,nonsocial,0
s020,bot,networks,social,0
s020,bot,podcasts,nonsocial,0
s020,bot,role_models,social,0
s020,bot,space,nonsocial,0
s020,bot,teamwork,social,0
s020,bot,technology,nonsocial,1
s020,bot,weather,nonsocial,0
s020,bot,work_life,social,0
s020,hum,architecture,nonsocial,0
s020,hum,cars,nonsocial,0
s020,hum,childhood_memories,social,0
s020,hum,communication,social,1
s020,hum,empathy,social,0
s020,hum,exercise,nonsocial,0
s020,hum,fashion,nonsocial,1
s020,hum,forgiveness,social,1
s020,hum,gardening,nonsocial,0
s020,hum,goals,social,0
s020,hum,hobbies,social,0
s020,hum,love,social,4
s020,hum,mentorship,social,1
s020,hum,music,nonsocial,0
s020,hum,photography,nonsocial,0
s020,hum,seasons,nonsocial,0
s020,hum,social_media,social,1
s020,hum,sports,nonsocial,1
s020,hum,travel,nonsocial,0
s020,hum,trust,social,1
s021,bot,architecture,nonsocial,0
s021,bot,art,nonsocial,0
s021,bot,books,nonsocial,0
s021,bot,boundaries,social,0
s021,bot,cars,nonsocial,0
s021,bot,communication,social,0
s021,bot,conflict,social,0
s021,bot,cultural_celebrations,social,0
s021,bot,fashion,nonsocial,0
s021,bot,friendship,social,1
s021,bot,gardening,nonsocial,1
s021,bot,loneliness,social,0
s021,bot,mentorship,social,0
s021,bot,movies,nonsocial,0
s021,bot,photography,nonsocial,1
s021,bot,role_models,social,1
s021,bot,seasons,nonsocial,0
s021,bot,social_media,social,0
s021,bot,technology,nonsocial,0
s021,bot,work_life,social,0
s021,hum,childhood_memories,social,1
s021,hum,cooking,nonsocial,0
s021,hum,empathy,social,3
s021,hum,exercise,nonsocial,0
s021,hum,family,social,0
s021,hum,food,nonsocial,0
s021,hum,forgiveness,social,0
s021,hum,goals,social,0
s021,hum,hobbies,social,0
s021,hum,love,social,0
s021,hum,music,nonsocial,0
s021,hum,nature,nonsocial,0
s021,hum,networks,social,2
s021,hum,podcasts,nonsocial,0
s021,hum,space,nonsocial,0
s021,hum,sports,nonsocial,1
s021,hum,teamwork,social,0
s021,hum,travel,nonsocial,0
s021,hum,trust,social,0
s021,hum,weather,nonsocial,0
s022,bot,boundaries,social,0
s022,bot,communication,social,0
s022,bot,cooking,nonsocial,0
s022,bot,cultural_celebrations,social,0
s022,bot,empathy,social,0
s022,bot,exercise,nonsocial,0
s022,bot,fashion,nonsocial,1
s022,bot,food,nonsocial,0
s022,bot,friendship,social,1
s022,bot,hobbies,social,0
s022,bot,loneliness,social,0
s022,bot,movies,nonsocial,1
s022,bot,nature,nonsocial,0
s022,bot,photography,nonsocial,0
s022,bot,role_models,social,0
s022,bot,seasons,nonsocial,0
s022,bot,social_media,social,0
s022,bot,sports,nonsocial,0
s022,bot,technology,nonsocial,0
s022,bot,work_life,social,0
s022,hum,architecture,nonsocial,1
s022,hum,art,nonsocial,0
s022,hum,books,nonsocial,2
s022,hum,cars,nonsocial,0
s022,hum,childhood_memories,social,1
s022,hum,conflict,social,0
s022,hum,family,social,0
s022,hum,forgiveness,social,0
s022,hum,gardening,nonsocial,0
s022,hum,goals,social,0
s022,hum,love,social,1
s022,hum,mentorship,social,0
s022,hum,music,nonsocial,0
s022,hum,networks,social,0
s022,hum,podcasts,nonsocial,0
s022,hum,space,nonsocial,0
s022,hum,teamwork,social,0
s022,hum,travel,nonsocial,0
s022,hum,trust,social,3
s022,hum,weather,nonsocial,0
s023,bot,art,nonsocial,0
s023,bot,boundaries,social,1
s023,bot,cars,nonsocial,0
s023,bot,conflict,social,0
s023,bot,cooking,nonsocial,0
